"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Czech Republic","CZE","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","680.298278808594","707.772155761719","681.653442382813","720.830627441406","714.021057128906","792.557434082031","792.044677734375","882.118347167969","925.320129394531","1346.21118164063","1541.63940429688","1492.62768554688","1453.44104003906","1526.23950195313","1513.27575683594","1612.34191894531","1723.35192871094","","",
"Czech Republic","CZE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417095112","509605238","1066292711","1384392842","1564900478","2120501636","2056156946","2175395886","2999276914","5717358878","5927385965","7828890431","8933980026","12080532987","14439623904","17303573135","14251924959","17468785927","23365827816","22007809307","20921357479","",
"Czech Republic","CZE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16367745195961","4.65321627031932","6.02568360428817","7.53308324386287","8.05960134154608","8.51623011706626","8.69123251926778","8.48669167081739","10.0527613946966","14.5494475059898","13.5248830794711","13.1913519617405","12.9530378723621","14.319599996335","13.2368760387487","13.556553725732","14.5637476208352","15.303136087885","16.2796794190464","16.0816986396112","14.7620663628296","",
"Germany","DEU","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7210555265","7080717419","7500583676","8633173026","7002789854","7117162120","7365410636","6285154290","8399187850","",
"Germany","DEU","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5749125027","5160034522","6309116089","7335840565","7207528952","8278504565","10705948492","9827921840","12907741499","",
"Germany","DEU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19565010070801","2.24086999893188","2.27837991714478","2.40930008888245","2.47222995758057","2.47405004501343","2.50275993347168","2.53962993621826","2.50339007377625","2.5058000087738","2.54026007652283","2.53168988227844","2.68945002555847","2.82262992858887","2.80351996421814","2.8928599357605","2.91910004615784","","",
"Germany","DEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","26837","","","","27310","25654","25300","29292","31821","32295","32929","35120","34103","36901","37645","39213.4","41414.6","42955","42962.9","43509.6","42677.7","42436","42230.4","43016.8","44194.1","44549.8","44428.7","44915.1","45017.3","45337.8","46258.8","","","",
"Germany","DEU","Patent applications, nonresidents","IP.PAT.NRES","","","","24923","26914","28322","30607","30393","31417","33532","33360","32882","33973","34314","33011","29897","30640","30154","28184","24305","19900","16738","17158","15445","13225","12180","10945","9933","9332","9168","8605","7784","7404","6995","7261","8055","9511","11291","10843","9502","10406","10486","10589","10663","10786","11855","12573","13139","13177","11724","12198","12458","14720","15814","",
"Germany","DEU","Patent applications, residents","IP.PAT.RESD","","","","36108","37861","38148","36861","37102","34005","33094","32772","32874","33381","31909","30534","30198","31065","30247","30308","30879","28683","29841","30668","31658","31984","32202","32169","31597","31912","31171","30724","32256","33919","34752","36715","38103","42322","44438","46523","50029","51736","49989","47598","47818","48448","48367","48012","47853","49240","47859","47047","46986","46620","47353","",
"Germany","DEU","Trademark applications, direct nonresident","IP.TMK.NRES","2318","2563","2918","","2998","3184","3001","3003","3516","3429","3485","3544","4613","5028","4165","3887","4080","4373","4402","6268","4938","4661","4556","5130","5557","11651","11774","13216","15504","18430","11203","11110","10107","10066","20478","21924","18805","15135","15210","14213","15367","14235","12826","11711","11617","12879","11664","10564","10789","8959","8738","8355","7794","7787","",
"Germany","DEU","Trademark applications, direct resident","IP.TMK.RESD","20843","20386","20424","","21696","21705","20388","20158","18446","17258","16396","15453","17869","15106","12407","13447","15044","14482","14841","23426","16487","16317","16375","17424","18061","19307","19781","20509","22696","23215","","","","","36779","38304","43297","51081","63262","71564","81970","63645","53818","58735","62580","67212","68817","72788","70076","65717","65510","60606","56703","57039","",
"Germany","DEU","Trademark applications, total","IP.TMK.TOTL","23161","22949","23342","24478","24694","24889","23389","23161","21962","20687","19881","18997","22482","20134","16572","17334","19124","18855","19243","29694","21425","20978","20931","22554","23618","30958","31555","33725","38200","41645","42878","44901","44518","48272","57257","60228","62102","66216","78472","85777","97337","77880","66644","70446","74197","80091","80481","83352","80865","74676","74248","68961","64497","64826","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760.42626953125","2824.18286132813","2846.82592773438","3050.52465820313","3087.8505859375","3163.12573242188","3176.33374023438","3209.77294921875","3222.64428710938","3246.19580078125","3341.54516601563","3479.98559570313","3627.59765625","3813.59912109375","3950.41381835938","4084.88525390625","4138.8828125","","",
"Germany","DEU","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1320.96667480469","1338.46044921875","1330.1083984375","","","","","1073.60815429688","1047.99291992188","1128.13146972656","1181.29504394531","1282.02380371094","1314.85864257813","1342.12072753906","1363.66149902344","1682.98547363281","","","",
"Germany","DEU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33640391960","37372441256","42467566168","46424896208","48068793864","42605028136","49515002528","60581521064","60953018867","64074551162","71626993528","77188078910","85541568000","90556490000","93577559000","106203323000","135678154000","146388837000","163169386000","153418544000","159811532000","139960752000","158507039742","183371439118","183354358704","193087960652","",
"Germany","DEU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7525274621198","12.3789598641884","11.9963528381739","13.0994100745279","12.6639055384757","13.4286113609338","13.6374230848474","13.7125196048235","13.767542791121","14.6472768450815","15.1778950769808","16.4876015770113","18.6258136594924","18.3163750587475","17.4520402467974","16.9009747730051","17.8165365146677","17.4225993357946","17.1358988126545","13.994891161286","13.3047185085267","15.2587406087745","15.250990451373","14.9635385637821","15.802247562153","16.078192316948","",
"Djibouti","DJI","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","2","3","1","1","2","1","1.3","0.2","0","0.7","0.3","0","0.3","0.5","0.5","0.9","0.9","0.3","0.6","0.5","1.6","1.9","1.3","","","",
"Djibouti","DJI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",
"Djibouti","DJI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Djibouti","DJI","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213","",
"Djibouti","DJI","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","",
"Djibouti","DJI","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116611","","","","","",
"Djibouti","DJI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0815999002195936","","","","","",
"Dominica","DMA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113200","235233.3333","612340.7407","619140.7407","435029.6296","1242888.889","608970.3704","594080.7407","594080.7407","",
"Dominica","DMA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10948.14815","","","","",
"Dominica","DMA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2","0","0.3","0","1.5","0","0.1","2","0.7","2","2.3","2.7","2.7","2.1","2.5","3","3.2","2.1","","","",
"Dominica","DMA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","19","21","19","10","14","15","8","21","70","32","26","73","60","54","52","45","31","47","37","34","59","76","","","","","","","",
"Dominica","DMA","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","58","79","57","52","55","70","72","82","156","148","167","147","182","109","104","32","118","166","134","171","161","128","","","","","","","",
"Dominica","DMA","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","77","100","76","62","69","85","80","103","226","180","193","220","242","163","156","77","149","213","171","205","220","204","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271375","143869","348726","619511","1492000","","1209213","1873565","1510276","1606816","1634465","1752442","1673309","1815465","1196357","77477","0","2757","","1912206","","",
"Dominica","DMA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.78296656728264","0.807039076624649","1.70650531810567","2.51215728720702","6.09749444063396","","4.35942189034283","6.53468126440911","6.38982918327013","7.69190705312322","7.21796654598486","7.90489917886467","7.48230457676422","7.74128423537557","6.18184016599178","0.44923216188477","0","0.0149701809958412","","8.83478872183296","","",
"Denmark","DNK","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83798003196716","1.92352998256683","2.04475998878479","2.17682003974915","","2.38718008995056","2.50819993019104","2.57548999786377","2.48486995697021","2.45644998550415","2.47751998901367","2.58008003234863","2.84990000724792","3.16038990020752","3.00137996673584","2.97599005699158","2.98415994644165","","",
"Denmark","DNK","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","3198","","","","3194","3636","3432","3445","3722","3716","3776","4141","4068","4458","4330.1","4368.7","4597.4","4717.9","4783.3","4882.9","4916.7","4760.7","5005.8","5009","5047.5","5133.1","5240.6","5303.5","5307","5638.7","6071.3","","","",
"Denmark","DNK","Patent applications, nonresidents","IP.PAT.NRES","","","","4902","5290","5560","5746","5706","5588","6025","5822","5673","5752","6259","6089","5130","5080","5055","4946","4645","4605","4745","4706","4920","5312","5236","5386","4759","6124","4683","1843","370","361","254","176","250","196","218","166","131","140","188","169","153","138","165","188","197","195","131","142","197","229","193","",
"Denmark","DNK","Patent applications, residents","IP.PAT.RESD","","","","1214","1163","1153","1052","1016","827","907","815","787","811","792","835","828","821","832","938","895","964","1085","1095","1167","966","856","958","1007","1197","1120","1218","1061","1204","1159","1274","1234","1309","1319","1543","1656","1730","1757","1815","1772","1877","1658","1503","1660","1634","1518","1626","1574","1406","1341","",
"Denmark","DNK","Trademark applications, direct nonresident","IP.TMK.NRES","","","2167","2321","2246","2503","2739","2764","2874","3059","3109","3024","3352","4035","3617","3504","3579","3440","3525","3626","3932","3391","3436","3698","3998","4199","4401","4907","5792","6403","6745","6143","6144","5618","6179","6701","4882","6705","7531","8109","8660","8354","6740","6289","5897","6025","4951","4152","3868","2834","2351","2489","2229","2261","",
"Denmark","DNK","Trademark applications, direct resident","IP.TMK.RESD","","","2213","2290","2171","2294","2193","2038","2115","2285","2075","2185","1875","1881","1845","2134","2029","1945","2032","1757","1918","2240","2556","2809","3112","3273","4174","3888","3374","3281","3289","3083","2928","2721","3098","3376","3187","3155","3389","3436","3773","3630","3922","3751","4160","4575","4275","4431","4151","3241","3399","3060","2803","2793","",
"Denmark","DNK","Trademark applications, total","IP.TMK.TOTL","4584","4196","4380","4611","4417","4797","4932","4802","4989","5344","5184","5209","5227","5916","5462","5638","5608","5385","5557","5383","5850","5631","5992","6507","7110","7472","8575","8795","9166","9684","10034","9226","9072","8339","9277","10077","8069","9860","10920","11545","12433","11984","10662","10040","10057","10600","9226","8583","8019","6075","5750","5549","5032","5054","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3178.10864257813","3318.56201171875","","3561.48510742188","","3632.89404296875","4758.228515625","4622.4541015625","4847.02392578125","5201.29443359375","5301.7255859375","5518.7470703125","6495.81591796875","6659.3330078125","6743.89794921875","6805.8271484375","6730.388671875","","",
"Denmark","DNK","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1990.05224609375","2002.20812988281","2108.20336914063","","2237.35424804688","2262.095703125","2095.98266601563","2069.70288085938","","",
"Denmark","DNK","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2213757474","2405121599","3255151603","3191576923","3587812275","3255458748","4048539560","4663250471","4899835067","5678362296","5648612310","6487722405","6752348446","6904684053","8313257009","8648725467","9971737472","10163186455","10461505789","11177588910","11444550232","10414112654","8113595952","9318396364","8863911538","9185071604","",
"Denmark","DNK","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.450608860961","14.6132500800315","15.536729120369","15.0401811315739","14.8345118141011","15.1530590836114","16.7832004690996","15.9929651358247","16.8884966661708","18.4261859649497","18.2287104301994","19.9853287049454","21.4365711641397","20.822278072111","22.4563201224077","20.1969610491592","20.3124086387329","19.6068233163444","18.4472463403407","16.9793492397971","15.575972639633","17.5452456049636","14.0128383884223","13.7616787603851","14.3008131986979","14.2513402421125","",
"Dominican Republic","DOM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30800000","31500000","31900000","50700000","53400000","65500000","71400000","59200000","69800000","",
"Dominican Republic","DOM","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","9","7","6","6","7","11","5","9","7","5","10","6.2","7.6","5.5","12.9","5.8","5.2","5.1","6.7","4.6","5.4","8.1","7.7","6.1","6.9","9.1","","","",
"Dominican Republic","DOM","Patent applications, nonresidents","IP.PAT.NRES","","","","70","55","15","80","","","","110","120","","","","","96","112","158","","","","","66","","","135","","","","","","","","","","","","","","","","","","","","","","","","","","264","256","",
"Dominican Republic","DOM","Patent applications, residents","IP.PAT.RESD","","","","15","9","5","13","","","","5","11","","","","","7","9","10","","","","","25","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","18","11","",
"Dominican Republic","DOM","Trademark applications, direct nonresident","IP.TMK.NRES","","313","","624","597","491","690","","","","880","775","","","","","761","1010","805","","","","","722","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4165","",
"Dominican Republic","DOM","Trademark applications, direct resident","IP.TMK.RESD","","63","","128","198","135","120","","","","171","239","","","","","332","486","363","","","","","790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5248","",
"Dominican Republic","DOM","Trademark applications, total","IP.TMK.TOTL","","376","","752","795","626","810","","","","1051","1014","","","","","1093","1496","1168","","","","","1512","","","","","","","2240","2569","3655","4651","6194","5850","6249","7837","7305","8688","8343","8757","7643","5312","6290","6012","6247","6870","6983","6826","6453","","","9413","",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826566","1245349","","","","3663000","174472787","169269218","195423789","416046400","289148358","561963491","171267326","79348496","75808632","90873749","121385059","","",
"Dominican Republic","DOM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.259036130721263","0.329375045347457","","","","1.31660296508045","4.05631922564183","3.7385536190832","4.01896385878663","8.403702122959","5.65514920619443","10.6451980592774","3.73896172557803","2.50688722108332","2.34967852395913","2.22633787366586","2.71614918540415","","",
"Algeria","DZA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","15000000","10547283.08","10163263.96","17088438.14","92466206.44","90367205.13","137274934.9","162112437.3","",
"Algeria","DZA","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","1460420.138","2928308.68","2153819.707","2811908.218","1714318.762","2844580.771","772655.4008","",
"Algeria","DZA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230279996991158","0.366400003433228","0.196229994297028","0.163570001721382","0.066040001809597","","","","","","","","","",
"Algeria","DZA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","81","61","66","73","98","106","120","123","125","146.3","155.6","159.6","156.4","185.4","211.3","220.5","229.7","280.7","344","350.3","413.4","480.7","536.6","607.5","598.3","599.3","","","",
"Algeria","DZA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","240","417","","386","365","366","318","347","447","578","438","422","455","419","349","340","320","278","345","","","","201","200","229","170","164","138","118","134","150","207","267","248","127","94","291","296","334","465","611","765","","","730","803","781","722","",
"Algeria","DZA","Patent applications, residents","IP.PAT.RESD","","","","","","","19","5","","7","18","14","14","7","11","7","9","11","7","5","5","14","14","30","30","","","","5","4","6","6","10","8","27","28","50","34","42","36","32","51","43","30","58","59","58","84","","","76","94","119","118","",
"Algeria","DZA","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","1236","913","928","839","727","1543","645","797","1124","2504","1166","792","775","648","646","1134","599","678","3522","1544","3494","668","3880","3845","3791","4786","4890","4689","4490","3816","3453","3434","3310","3369","3347","3068","2791","3242","4069","3893","2415","2489","2144","3559","3666","3919","2456","",
"Algeria","DZA","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","245","207","234","323","236","77","108","122","132","124","144","99","133","313","107","160","294","174","236","543","375","290","477","461","480","460","667","518","662","691","559","765","945","1237","1418","1333","1488","1266","1676","2235","","","","2070","2294","2332","1261","",
"Algeria","DZA","Trademark applications, total","IP.TMK.TOTL","","","","","","","15215","1481","1120","1162","1162","963","1620","753","919","1256","2628","1310","891","908","961","753","1294","893","852","3758","2087","3869","958","4357","4306","4271","5246","5557","5207","5152","4507","4012","4199","4255","4606","4765","4401","4279","4508","5745","6128","2415","6110","5752","5629","5960","6251","3717","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164.689376831055","","","","","","","","","",
"Algeria","DZA","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3913383483887","","","","","","","","","",
"Algeria","DZA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4272717","5676489","1888488","1666312","2440222","4596669","2303648","15510125","21221581","3383607","6421476","11944911","6720100","9039068","10642822","6607471","8441609","4418241","5141641","2407114","2028775","3152281","",
"Algeria","DZA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26702112316594","1.62105004254718","0.816186620836953","0.482299465028591","0.367838705149729","1.17093685127351","0.892256190246932","4.44239654128505","4.16683343230625","0.615530031793836","1.05863088716642","2.28679011860615","1.04603270347987","1.4846161183203","1.62156078886042","0.716136565964244","0.656696365435629","0.625863297717341","0.504620348567318","0.161139885472764","0.130478689319292","0.192235191396927","",
"East Asia & Pacific (developing only)","EAP","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9600893075.81563","10863774725.2834","13148394630.7046","15872625638.4288","16404284396.5797","19515726803.2164","21708681844.6477","25186669874.7661","29334081750.8237","",
"East Asia & Pacific (developing only)","EAP","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470599618.495863","297281350.79708","470312526.40422","913879768.46849","881036329.84479","1149598495.12645","1156889331.3362","1491872339.9627","1269848741.53359","",
"East Asia & Pacific (developing only)","EAP","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.465489817109843","0.570043755593426","0.635621654099634","0.705665636231626","0.73885277670638","0.810084203051839","0.924062810575389","1.02123361038854","1.12278677951039","1.19872592271588","1.2695646116057","1.27027685506804","1.43544416327256","1.46824256852607","1.72982861062821","1.80508225311517","1.98304998874664","","",
"East Asia & Pacific (developing only)","EAP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1100","","","","1943","3716","3939","5472","6322","7214","7139","7908","8594","8964","10237.1","11765.5","13445.4","15194.9","17283.5","20196","22910.1","25188.4","30909.9","37194.4","44187.7","52626.5","60170.9","69157","78388.8","84706.3","95382.3","","","",
"East Asia & Pacific (developing only)","EAP","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","8724","7387","10300","9094","10558","10262","11369","14204","16661","18617","21719","28369","32138","50152","51590","45489","51367","54476","63559","81467","99806","107167","110515","116506","104553","115741","130605","135351","145727","",
"East Asia & Pacific (developing only)","EAP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","4268","3697","4252","5037","5106","6202","7804","10500","12695","11924","10680","12406","13517","14852","16913","26458","31348","41316","58534","67758","101484","131049","162249","197106","240232","304623","426807","546345","709185","",
"East Asia & Pacific (developing only)","EAP","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","8150","9948","14200","22012","21877","20178","25934","25470","29194","32629","42957","54144","68541","64403","80761","76439","64152","57897","73854","80451","87403","84975","106519","120260","135903","139210","144840","116375","142120","175977","184160","199524","",
"East Asia & Pacific (developing only)","EAP","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","33410","36176","43194","70373","74028","73367","73632","74797","92814","104930","135481","131024","155777","166458","161291","142165","149146","167178","212435","287885","384116","481831","618463","679599","764064","698548","688883","849453","1089880","1398796","1583995","1862579","",
"East Asia & Pacific (developing only)","EAP","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","43916","34163","41560","46124","57394","92385","95905","93545","99566","100267","122008","137559","178438","185168","224318","230861","242052","218604","213298","225075","286289","368336","471519","566806","724982","799859","899967","837758","833723","965828","1232000","1574773","1830610","2062103","",
"East Asia & Pacific (developing only)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417.912135778431","434.436289846771","366.202971473762","391.70118418824","492.85168897388","497.862883269948","563.723319555081","610.615425443175","702.834126997736","779.183764807801","911.874096903431","973.748459755251","1174.09426480224","726.613362830728","902.209437858189","977.436884364723","1019.57214355469","","",
